IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.89.195.219,443,443,true,FRA,Europe,Frankfurt,186,6.28
34.118.75.249,443,443,true,FRA,Europe,Frankfurt,218,6.28
34.154.239.19,443,443,true,FRA,Europe,Frankfurt,263,6.27
34.65.239.2,443,443,true,FRA,Europe,Frankfurt,261,6.26
35.234.85.250,443,443,true,FRA,Europe,Frankfurt,206,6.26
34.154.73.101,443,443,true,FRA,Europe,Frankfurt,253,6.24
34.65.225.189,443,443,true,FRA,Europe,Frankfurt,200,6.24
35.234.99.173,443,443,true,FRA,Europe,Frankfurt,262,6.21
34.116.246.103,443,443,true,FRA,Europe,Frankfurt,213,6.19
34.65.178.59,443,443,true,FRA,Europe,Frankfurt,262,6.19
34.159.138.57,443,443,true,FRA,Europe,Frankfurt,185,6.19
34.65.225.189,443,443,true,FRA,Europe,Frankfurt,254,6.17
34.154.183.87,443,443,true,FRA,Europe,Frankfurt,190,6.09
34.65.168.45,443,443,true,FRA,Europe,Frankfurt,253,6.08
34.90.137.249,443,443,true,FRA,Europe,Frankfurt,296,6.08
34.90.238.116,443,443,true,FRA,Europe,Frankfurt,268,6.08
34.141.218.188,443,443,true,FRA,Europe,Frankfurt,264,6.07
34.65.165.196,443,443,true,FRA,Europe,Frankfurt,262,6.07
34.91.175.12,443,443,true,FRA,Europe,Frankfurt,192,6.07
34.154.215.121,443,443,true,FRA,Europe,Frankfurt,203,6.07
34.90.137.249,443,443,true,FRA,Europe,Frankfurt,273,6.07
34.154.104.145,443,443,true,FRA,Europe,Frankfurt,261,6.06
34.91.162.60,443,443,true,FRA,Europe,Frankfurt,270,6.06
34.141.225.86,443,443,true,FRA,Europe,Frankfurt,259,6.06
34.91.11.74,443,443,true,FRA,Europe,Frankfurt,259,6.06
34.91.58.126,443,443,true,FRA,Europe,Frankfurt,258,6.06
35.204.253.58,443,443,true,FRA,Europe,Frankfurt,195,6.06
34.159.69.201,443,443,true,FRA,Europe,Frankfurt,263,6.06
34.154.237.3,443,443,true,FRA,Europe,Frankfurt,253,6.05
34.90.198.51,443,443,true,FRA,Europe,Frankfurt,205,6.05
